2024-06-13 21:43:09.786 | INFO  | restartedMain | c.e.m.MemberApplication >>>>> Started MemberApplication in 1.537 seconds (process running for 2.109)
2024-06-13 21:43:10.297 | INFO  | RMI TCP Connection(1)-192.168.31.173 | o.a.c.c.C.[.[.[/] >>>>> Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-06-13 21:43:10.297 | INFO  | RMI TCP Connection(1)-192.168.31.173 | o.s.w.s.DispatcherServlet >>>>> Initializing Servlet 'dispatcherServlet'
2024-06-13 21:43:10.299 | INFO  | RMI TCP Connection(1)-192.168.31.173 | o.s.w.s.DispatcherServlet >>>>> Completed initialization in 2 ms
2024-06-13 21:43:10.337 | INFO  | RMI TCP Connection(2)-192.168.31.173 | c.a.d.p.DruidDataSource >>>>> {dataSource-1} inited
2024-06-13 21:43:12.367 | INFO  | http-nio-9191-exec-2 | o.s.a.AbstractOpenApiResource >>>>> Init duration for springdoc-openapi is: 97 ms
2024-06-13 21:50:59.324 | INFO  | SpringApplicationShutdownHook | c.a.d.p.DruidDataSource >>>>> {dataSource-1} closing ...
2024-06-13 21:50:59.327 | INFO  | SpringApplicationShutdownHook | c.a.d.p.DruidDataSource >>>>> {dataSource-1} closed
2024-06-13 21:51:01.674 | INFO  | restartedMain | c.e.m.MemberApplication >>>>> Starting MemberApplication using Java 17.0.9 with PID 15712 (D:\GithubProjects\SpringCloud\E-Commerce-Center\member-service-provider-10000\target\classes started by 30218 in D:\GithubProjects\SpringCloud)
2024-06-13 21:51:01.679 | INFO  | restartedMain | c.e.m.MemberApplication >>>>> No active profile set, falling back to 1 default profile: "default"
2024-06-13 21:51:01.698 | INFO  | restartedMain | o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor >>>>> Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-06-13 21:51:01.699 | INFO  | restartedMain | o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor >>>>> For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-06-13 21:51:02.397 | INFO  | restartedMain | o.s.b.w.e.t.TomcatWebServer >>>>> Tomcat initialized with port 9191 (http)
2024-06-13 21:51:02.403 | INFO  | restartedMain | o.a.c.h.Http11NioProtocol >>>>> Initializing ProtocolHandler ["http-nio-9191"]
2024-06-13 21:51:02.404 | INFO  | restartedMain | o.a.c.c.StandardService >>>>> Starting service [Tomcat]
2024-06-13 21:51:02.404 | INFO  | restartedMain | o.a.c.c.StandardEngine >>>>> Starting Servlet engine: [Apache Tomcat/10.1.16]
2024-06-13 21:51:02.430 | INFO  | restartedMain | o.a.c.c.C.[.[.[/] >>>>> Initializing Spring embedded WebApplicationContext
2024-06-13 21:51:02.430 | INFO  | restartedMain | o.s.b.w.s.c.ServletWebServerApplicationContext >>>>> Root WebApplicationContext: initialization completed in 731 ms
2024-06-13 21:51:02.973 | INFO  | restartedMain | o.s.b.d.a.OptionalLiveReloadServer >>>>> LiveReload server is running on port 35729
2024-06-13 21:51:02.975 | INFO  | restartedMain | o.s.b.a.e.w.EndpointLinksResolver >>>>> Exposing 1 endpoint(s) beneath base path '/actuator'
2024-06-13 21:51:03.000 | INFO  | restartedMain | o.a.c.h.Http11NioProtocol >>>>> Starting ProtocolHandler ["http-nio-9191"]
2024-06-13 21:51:03.012 | INFO  | restartedMain | o.s.b.w.e.t.TomcatWebServer >>>>> Tomcat started on port 9191 (http) with context path ''
2024-06-13 21:51:03.020 | INFO  | restartedMain | c.e.m.MemberApplication >>>>> Started MemberApplication in 1.542 seconds (process running for 2.112)
2024-06-13 21:51:03.531 | INFO  | RMI TCP Connection(1)-192.168.31.173 | o.a.c.c.C.[.[.[/] >>>>> Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-06-13 21:51:03.531 | INFO  | RMI TCP Connection(1)-192.168.31.173 | o.s.w.s.DispatcherServlet >>>>> Initializing Servlet 'dispatcherServlet'
2024-06-13 21:51:03.532 | INFO  | RMI TCP Connection(1)-192.168.31.173 | o.s.w.s.DispatcherServlet >>>>> Completed initialization in 1 ms
2024-06-13 21:51:03.564 | INFO  | RMI TCP Connection(2)-192.168.31.173 | c.a.d.p.DruidDataSource >>>>> {dataSource-1} inited
2024-06-13 21:51:48.793 | INFO  | SpringApplicationShutdownHook | c.a.d.p.DruidDataSource >>>>> {dataSource-1} closing ...
